Alfa,CotaError,MaxIteraciones,iteracion,Iguales Exactas,Parecidas,Eficiencia Training,Iguales Exactas Test,Parecidas Test,Eficiencia Test
0.0010,0.100000,2700,2,57,57,"35,63%",13,13,"32,50%"
0.0010,0.000100,2800,585,27,27,"16,88%",6,6,"15,00%"
0.0010,0.001000,2800,56,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2800,2,1,1,"0,63%",0,0,"0,00%"
0.0010,0.100000,2800,2,57,57,"35,63%",20,20,"50,00%"
0.0010,0.000100,2900,472,29,29,"18,13%",5,5,"12,50%"
0.0010,0.001000,2900,39,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,2900,2,73,73,"45,63%",16,16,"40,00%"
0.0010,0.100000,2900,2,63,63,"39,38%",16,16,"40,00%"
0.0010,0.000100,3000,519,26,26,"16,25%",8,8,"20,00%"
0.0010,0.001000,3000,86,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3000,2,68,68,"42,50%",18,18,"45,00%"
0.0010,0.100000,3000,2,58,58,"36,25%",14,14,"35,00%"
0.0010,0.000100,3100,502,20,20,"12,50%",8,8,"20,00%"
0.0010,0.001000,3100,55,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3100,2,68,68,"42,50%",21,21,"52,50%"
0.0010,0.100000,3100,2,72,72,"45,00%",16,16,"40,00%"
0.0010,0.000100,3200,542,21,21,"13,13%",11,11,"27,50%"
0.0010,0.001000,3200,58,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3200,2,68,68,"42,50%",17,17,"42,50%"
0.0010,0.100000,3200,2,67,67,"41,88%",21,21,"52,50%"
0.0010,0.000100,3300,492,27,27,"16,88%",6,6,"15,00%"
0.0010,0.001000,3300,51,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3300,2,71,71,"44,38%",18,18,"45,00%"
0.0010,0.100000,3300,2,50,50,"31,25%",14,14,"35,00%"
0.0010,0.000100,3400,586,30,30,"18,75%",6,6,"15,00%"
0.0010,0.001000,3400,51,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3400,2,69,69,"43,13%",17,17,"42,50%"
0.0010,0.100000,3400,2,61,61,"38,13%",14,14,"35,00%"
0.0010,0.000100,3500,569,24,24,"15,00%",8,8,"20,00%"
0.0010,0.001000,3500,74,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3500,2,52,52,"32,50%",17,17,"42,50%"
0.0010,0.100000,3500,2,39,39,"24,38%",11,11,"27,50%"
0.0010,0.000100,3600,578,27,27,"16,88%",4,4,"10,00%"
0.0010,0.001000,3600,65,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3600,2,71,71,"44,38%",16,16,"40,00%"
0.0010,0.100000,3600,2,54,54,"33,75%",15,15,"37,50%"
0.0010,0.000100,3700,540,30,30,"18,75%",5,5,"12,50%"
0.0010,0.001000,3700,73,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3700,2,10,10,"6,25%",3,3,"7,50%"
0.0010,0.100000,3700,2,62,62,"38,75%",10,10,"25,00%"
0.0010,0.000100,3800,492,22,22,"13,75%",9,9,"22,50%"
0.0010,0.001000,3800,2,71,71,"44,38%",15,15,"37,50%"
0.0010,0.010000,3800,2,33,33,"20,63%",8,8,"20,00%"
0.0010,0.100000,3800,2,25,25,"15,63%",7,7,"17,50%"
0.0010,0.000100,3900,605,28,28,"17,50%",6,6,"15,00%"
0.0010,0.001000,3900,51,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,3900,2,59,59,"36,88%",18,18,"45,00%"
0.0010,0.100000,3900,2,62,62,"38,75%",19,19,"47,50%"
0.0010,0.000100,4000,518,25,25,"15,63%",8,8,"20,00%"
0.0010,0.001000,4000,65,0,0,"0,00%",0,0,"0,00%"
0.0010,0.010000,4000,2,25,25,"15,63%",9,9,"22,50%"
0.0010,0.100000,4000,2,65,65,"40,63%",22,22,"55,00%"
0.0050,0.000100,500,325,83,83,"51,88%",22,22,"55,00%"
0.0050,0.001000,500,61,5,5,"3,13%",1,1,"2,50%"
0.0050,0.010000,500,2,69,69,"43,13%",17,17,"42,50%"
0.0050,0.100000,500,2,26,26,"16,25%",8,8,"20,00%"
0.0050,0.000100,1000,325,82,82,"51,25%",20,20,"50,00%"
0.0050,0.001000,1000,55,4,4,"2,50%",2,2,"5,00%"
0.0050,0.010000,1000,2,71,71,"44,38%",15,15,"37,50%"
0.0050,0.100000,1000,2,60,60,"37,50%",12,12,"30,00%"
0.0050,0.000100,1100,310,80,80,"50,00%",20,20,"50,00%"
0.0050,0.001000,1100,71,9,9,"5,63%",2,2,"5,00%"
0.0050,0.010000,1100,2,65,65,"40,63%",20,20,"50,00%"
0.0050,0.100000,1100,2,53,53,"33,13%",11,11,"27,50%"
0.0050,0.000100,1200,334,77,77,"48,13%",22,22,"55,00%"
0.0050,0.001000,1200,65,3,3,"1,88%",0,0,"0,00%"
0.0050,0.010000,1200,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1200,2,25,25,"15,63%",4,4,"10,00%"
0.0050,0.000100,1300,308,80,80,"50,00%",17,17,"42,50%"
0.0050,0.001000,1300,68,8,8,"5,00%",1,1,"2,50%"
0.0050,0.010000,1300,12,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1300,2,3,3,"1,88%",0,0,"0,00%"
0.0050,0.000100,1400,312,82,82,"51,25%",17,17,"42,50%"
0.0050,0.001000,1400,55,8,8,"5,00%",1,1,"2,50%"
0.0050,0.010000,1400,6,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1400,2,66,66,"41,25%",11,11,"27,50%"
0.0050,0.000100,1500,303,84,84,"52,50%",17,17,"42,50%"
0.0050,0.001000,1500,58,8,8,"5,00%",0,0,"0,00%"
0.0050,0.010000,1500,12,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1500,2,55,55,"34,38%",14,14,"35,00%"
0.0050,0.000100,1600,321,84,84,"52,50%",16,16,"40,00%"
0.0050,0.001000,1600,71,7,7,"4,38%",1,1,"2,50%"
0.0050,0.010000,1600,9,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1600,2,39,39,"24,38%",10,10,"25,00%"
0.0050,0.000100,1700,319,79,79,"49,38%",21,21,"52,50%"
0.0050,0.001000,1700,53,7,7,"4,38%",1,1,"2,50%"
0.0050,0.010000,1700,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1700,2,25,25,"15,63%",5,5,"12,50%"
0.0050,0.000100,1800,316,85,85,"53,13%",19,19,"47,50%"
0.0050,0.001000,1800,73,4,4,"2,50%",2,2,"5,00%"
0.0050,0.010000,1800,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1800,2,56,56,"35,00%",12,12,"30,00%"
0.0050,0.000100,1900,329,75,75,"46,88%",23,23,"57,50%"
0.0050,0.001000,1900,57,0,0,"0,00%",3,3,"7,50%"
0.0050,0.010000,1900,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,1900,2,59,59,"36,88%",12,12,"30,00%"
0.0050,0.000100,2000,323,79,79,"49,38%",20,20,"50,00%"
0.0050,0.001000,2000,57,7,7,"4,38%",1,1,"2,50%"
0.0050,0.010000,2000,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2000,2,55,55,"34,38%",12,12,"30,00%"
0.0050,0.000100,2100,313,85,85,"53,13%",16,16,"40,00%"
0.0050,0.001000,2100,63,9,9,"5,63%",3,3,"7,50%"
0.0050,0.010000,2100,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2100,2,60,60,"37,50%",13,13,"32,50%"
0.0050,0.000100,2200,311,88,88,"55,00%",12,12,"30,00%"
0.0050,0.001000,2200,70,6,6,"3,75%",2,2,"5,00%"
0.0050,0.010000,2200,8,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2200,2,0,0,"0,00%",0,0,"0,00%"
0.0050,0.000100,2300,302,83,83,"51,88%",17,17,"42,50%"
0.0050,0.001000,2300,55,5,5,"3,13%",1,1,"2,50%"
0.0050,0.010000,2300,2,76,76,"47,50%",13,13,"32,50%"
0.0050,0.100000,2300,2,28,28,"17,50%",8,8,"20,00%"
0.0050,0.000100,2400,318,79,79,"49,38%",19,19,"47,50%"
0.0050,0.001000,2400,61,8,8,"5,00%",4,4,"10,00%"
0.0050,0.010000,2400,8,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2400,2,27,27,"16,88%",7,7,"17,50%"
0.0050,0.000100,2500,337,80,80,"50,00%",21,21,"52,50%"
0.0050,0.001000,2500,54,5,5,"3,13%",2,2,"5,00%"
0.0050,0.010000,2500,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2500,2,54,54,"33,75%",9,9,"22,50%"
0.0050,0.000100,2600,315,81,81,"50,63%",17,17,"42,50%"
0.0050,0.001000,2600,57,3,3,"1,88%",5,5,"12,50%"
0.0050,0.010000,2600,11,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2600,2,44,44,"27,50%",10,10,"25,00%"
0.0050,0.000100,2700,310,78,78,"48,75%",22,22,"55,00%"
0.0050,0.001000,2700,67,7,7,"4,38%",0,0,"0,00%"
0.0050,0.010000,2700,2,71,71,"44,38%",14,14,"35,00%"
0.0050,0.100000,2700,2,43,43,"26,88%",12,12,"30,00%"
0.0050,0.000100,2800,318,78,78,"48,75%",22,22,"55,00%"
0.0050,0.001000,2800,70,4,4,"2,50%",4,4,"10,00%"
0.0050,0.010000,2800,11,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2800,2,19,19,"11,88%",3,3,"7,50%"
0.0050,0.000100,2900,319,73,73,"45,63%",26,26,"65,00%"
0.0050,0.001000,2900,56,4,4,"2,50%",1,1,"2,50%"
0.0050,0.010000,2900,9,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,2900,2,70,70,"43,75%",16,16,"40,00%"
0.0050,0.000100,3000,327,79,79,"49,38%",22,22,"55,00%"
0.0050,0.001000,3000,66,4,4,"2,50%",0,0,"0,00%"
0.0050,0.010000,3000,2,69,69,"43,13%",12,12,"30,00%"
0.0050,0.100000,3000,2,26,26,"16,25%",7,7,"17,50%"
0.0050,0.000100,3100,323,80,80,"50,00%",19,19,"47,50%"
0.0050,0.001000,3100,69,5,5,"3,13%",1,1,"2,50%"
0.0050,0.010000,3100,2,74,74,"46,25%",13,13,"32,50%"
0.0050,0.100000,3100,2,73,73,"45,63%",16,16,"40,00%"
0.0050,0.000100,3200,308,80,80,"50,00%",21,21,"52,50%"
0.0050,0.001000,3200,71,4,4,"2,50%",3,3,"7,50%"
0.0050,0.010000,3200,10,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3200,2,4,4,"2,50%",2,2,"5,00%"
0.0050,0.000100,3300,328,87,87,"54,38%",17,17,"42,50%"
0.0050,0.001000,3300,67,6,6,"3,75%",3,3,"7,50%"
0.0050,0.010000,3300,11,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3300,2,43,43,"26,88%",12,12,"30,00%"
0.0050,0.000100,3400,329,78,78,"48,75%",21,21,"52,50%"
0.0050,0.001000,3400,62,9,9,"5,63%",1,1,"2,50%"
0.0050,0.010000,3400,11,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3400,2,76,76,"47,50%",12,12,"30,00%"
0.0050,0.000100,3500,334,79,79,"49,38%",28,28,"70,00%"
0.0050,0.001000,3500,55,4,4,"2,50%",3,3,"7,50%"
0.0050,0.010000,3500,7,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3500,2,57,57,"35,63%",14,14,"35,00%"
0.0050,0.000100,3600,331,81,81,"50,63%",21,21,"52,50%"
0.0050,0.001000,3600,58,2,2,"1,25%",0,0,"0,00%"
0.0050,0.010000,3600,8,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3600,2,63,63,"39,38%",11,11,"27,50%"
0.0050,0.000100,3700,326,77,77,"48,13%",20,20,"50,00%"
0.0050,0.001000,3700,74,3,3,"1,88%",0,0,"0,00%"
0.0050,0.010000,3700,9,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3700,2,22,22,"13,75%",10,10,"25,00%"
0.0050,0.000100,3800,299,88,88,"55,00%",10,10,"25,00%"
0.0050,0.001000,3800,65,3,3,"1,88%",0,0,"0,00%"
0.0050,0.010000,3800,2,71,71,"44,38%",12,12,"30,00%"
0.0050,0.100000,3800,2,72,72,"45,00%",15,15,"37,50%"
0.0050,0.000100,3900,316,82,82,"51,25%",19,19,"47,50%"
0.0050,0.001000,3900,68,5,5,"3,13%",1,1,"2,50%"
0.0050,0.010000,3900,9,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,3900,2,31,31,"19,38%",10,10,"25,00%"
0.0050,0.000100,4000,314,83,83,"51,88%",17,17,"42,50%"
0.0050,0.001000,4000,55,8,8,"5,00%",1,1,"2,50%"
0.0050,0.010000,4000,9,0,0,"0,00%",0,0,"0,00%"
0.0050,0.100000,4000,2,9,9,"5,63%",7,7,"17,50%"
0.0030,0.000100,500,388,71,71,"44,38%",12,12,"30,00%"
0.0030,0.001000,500,63,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,500,2,70,70,"43,75%",16,16,"40,00%"
0.0030,0.100000,500,2,46,46,"28,75%",14,14,"35,00%"
0.0030,0.000100,1000,387,64,64,"40,00%",19,19,"47,50%"
0.0030,0.001000,1000,44,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1000,2,68,68,"42,50%",19,19,"47,50%"
0.0030,0.100000,1000,2,60,60,"37,50%",14,14,"35,00%"
0.0030,0.000100,1100,363,62,62,"38,75%",16,16,"40,00%"
0.0030,0.001000,1100,59,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1100,2,61,61,"38,13%",15,15,"37,50%"
0.0030,0.100000,1100,2,61,61,"38,13%",16,16,"40,00%"
0.0030,0.000100,1200,388,64,64,"40,00%",18,18,"45,00%"
0.0030,0.001000,1200,40,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1200,7,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,1200,2,35,35,"21,88%",9,9,"22,50%"
0.0030,0.000100,1300,360,65,65,"40,63%",16,16,"40,00%"
0.0030,0.001000,1300,51,1,1,"0,63%",0,0,"0,00%"
0.0030,0.010000,1300,8,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,1300,2,67,67,"41,88%",14,14,"35,00%"
0.0030,0.000100,1400,358,69,69,"43,13%",15,15,"37,50%"
0.0030,0.001000,1400,61,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1400,12,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,1400,2,69,69,"43,13%",13,13,"32,50%"
0.0030,0.000100,1500,391,68,68,"42,50%",16,16,"40,00%"
0.0030,0.001000,1500,54,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1500,9,0,0,"0,00%",1,1,"2,50%"
0.0030,0.100000,1500,2,59,59,"36,88%",8,8,"20,00%"
0.0030,0.000100,1600,396,67,67,"41,88%",14,14,"35,00%"
0.0030,0.001000,1600,52,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1600,14,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,1600,2,44,44,"27,50%",14,14,"35,00%"
0.0030,0.000100,1700,386,67,67,"41,88%",14,14,"35,00%"
0.0030,0.001000,1700,67,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1700,2,62,62,"38,75%",11,11,"27,50%"
0.0030,0.100000,1700,2,71,71,"44,38%",20,20,"50,00%"
0.0030,0.000100,1800,399,61,61,"38,13%",16,16,"40,00%"
0.0030,0.001000,1800,54,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1800,2,70,70,"43,75%",11,11,"27,50%"
0.0030,0.100000,1800,2,65,65,"40,63%",19,19,"47,50%"
0.0030,0.000100,1900,380,70,70,"43,75%",16,16,"40,00%"
0.0030,0.001000,1900,50,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,1900,11,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,1900,2,63,63,"39,38%",14,14,"35,00%"
0.0030,0.000100,2000,416,63,63,"39,38%",17,17,"42,50%"
0.0030,0.001000,2000,62,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2000,2,64,64,"40,00%",19,19,"47,50%"
0.0030,0.100000,2000,2,63,63,"39,38%",14,14,"35,00%"
0.0030,0.000100,2100,373,63,63,"39,38%",13,13,"32,50%"
0.0030,0.001000,2100,69,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2100,12,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2100,2,50,50,"31,25%",13,13,"32,50%"
0.0030,0.000100,2200,377,66,66,"41,25%",18,18,"45,00%"
0.0030,0.001000,2200,68,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2200,7,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2200,2,58,58,"36,25%",12,12,"30,00%"
0.0030,0.000100,2300,386,71,71,"44,38%",9,9,"22,50%"
0.0030,0.001000,2300,60,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2300,11,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2300,2,70,70,"43,75%",19,19,"47,50%"
0.0030,0.000100,2400,362,68,68,"42,50%",15,15,"37,50%"
0.0030,0.001000,2400,57,1,1,"0,63%",0,0,"0,00%"
0.0030,0.010000,2400,2,59,59,"36,88%",21,21,"52,50%"
0.0030,0.100000,2400,2,18,18,"11,25%",7,7,"17,50%"
0.0030,0.000100,2500,394,64,64,"40,00%",23,23,"57,50%"
0.0030,0.001000,2500,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2500,7,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2500,2,50,50,"31,25%",15,15,"37,50%"
0.0030,0.000100,2600,390,70,70,"43,75%",17,17,"42,50%"
0.0030,0.001000,2600,38,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2600,11,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2600,2,24,24,"15,00%",8,8,"20,00%"
0.0030,0.000100,2700,373,66,66,"41,25%",17,17,"42,50%"
0.0030,0.001000,2700,63,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2700,2,68,68,"42,50%",16,16,"40,00%"
0.0030,0.100000,2700,2,26,26,"16,25%",4,4,"10,00%"
0.0030,0.000100,2800,365,62,62,"38,75%",18,18,"45,00%"
0.0030,0.001000,2800,72,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2800,2,64,64,"40,00%",17,17,"42,50%"
0.0030,0.100000,2800,2,72,72,"45,00%",16,16,"40,00%"
0.0030,0.000100,2900,387,62,62,"38,75%",18,18,"45,00%"
0.0030,0.001000,2900,62,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,2900,7,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,2900,2,47,47,"29,38%",13,13,"32,50%"
0.0030,0.000100,3000,369,65,65,"40,63%",16,16,"40,00%"
0.0030,0.001000,3000,70,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3000,2,66,66,"41,25%",12,12,"30,00%"
0.0030,0.100000,3000,2,66,66,"41,25%",21,21,"52,50%"
0.0030,0.000100,3100,398,65,65,"40,63%",20,20,"50,00%"
0.0030,0.001000,3100,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3100,10,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3100,2,58,58,"36,25%",13,13,"32,50%"
0.0030,0.000100,3200,368,76,76,"47,50%",11,11,"27,50%"
0.0030,0.001000,3200,65,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3200,2,63,63,"39,38%",16,16,"40,00%"
0.0030,0.100000,3200,2,65,65,"40,63%",16,16,"40,00%"
0.0030,0.000100,3300,387,70,70,"43,75%",17,17,"42,50%"
0.0030,0.001000,3300,54,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3300,2,66,66,"41,25%",23,23,"57,50%"
0.0030,0.100000,3300,2,56,56,"35,00%",17,17,"42,50%"
0.0030,0.000100,3400,377,64,64,"40,00%",15,15,"37,50%"
0.0030,0.001000,3400,53,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3400,2,68,68,"42,50%",12,12,"30,00%"
0.0030,0.100000,3400,2,73,73,"45,63%",17,17,"42,50%"
0.0030,0.000100,3500,365,69,69,"43,13%",14,14,"35,00%"
0.0030,0.001000,3500,61,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3500,2,65,65,"40,63%",17,17,"42,50%"
0.0030,0.100000,3500,2,33,33,"20,63%",13,13,"32,50%"
0.0030,0.000100,3600,394,62,62,"38,75%",18,18,"45,00%"
0.0030,0.001000,3600,42,1,1,"0,63%",0,0,"0,00%"
0.0030,0.010000,3600,2,75,75,"46,88%",14,14,"35,00%"
0.0030,0.100000,3600,2,61,61,"38,13%",16,16,"40,00%"
0.0030,0.000100,3700,373,69,69,"43,13%",13,13,"32,50%"
0.0030,0.001000,3700,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3700,13,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3700,2,0,0,"0,00%",0,0,"0,00%"
0.0030,0.000100,3800,359,65,65,"40,63%",16,16,"40,00%"
0.0030,0.001000,3800,36,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3800,12,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3800,2,63,63,"39,38%",12,12,"30,00%"
0.0030,0.000100,3900,398,63,63,"39,38%",12,12,"30,00%"
0.0030,0.001000,3900,56,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,3900,13,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,3900,2,21,21,"13,13%",6,6,"15,00%"
0.0030,0.000100,4000,379,65,65,"40,63%",14,14,"35,00%"
0.0030,0.001000,4000,77,0,0,"0,00%",0,0,"0,00%"
0.0030,0.010000,4000,11,0,0,"0,00%",0,0,"0,00%"
0.0030,0.100000,4000,2,60,60,"37,50%",13,13,"32,50%"
0.0500,0.000100,500,161,116,116,"72,50%",33,33,"82,50%"
